data,linha,sigla,estacao,fluxo,ano
2023-04-01,1-AZUL,JAB,Jabaquara,44500,2023
2023-04-02,1-AZUL,JAB,Jabaquara,29600,2023
2023-04-03,1-AZUL,JAB,Jabaquara,69500,2023
2023-04-04,1-AZUL,JAB,Jabaquara,69200,2023
2023-04-05,1-AZUL,JAB,Jabaquara,71000,2023
2023-04-06,1-AZUL,JAB,Jabaquara,71700,2023
2023-04-07,1-AZUL,JAB,Jabaquara,27900,2023
2023-04-08,1-AZUL,JAB,Jabaquara,38800,2023
2023-04-09,1-AZUL,JAB,Jabaquara,36300,2023
2023-04-10,1-AZUL,JAB,Jabaquara,71500,2023
2023-04-11,1-AZUL,JAB,Jabaquara,72100,2023
2023-04-12,1-AZUL,JAB,Jabaquara,73300,2023
2023-04-13,1-AZUL,JAB,Jabaquara,74000,2023
2023-04-14,1-AZUL,JAB,Jabaquara,74800,2023
2023-04-15,1-AZUL,JAB,Jabaquara,46500,2023
2023-04-16,1-AZUL,JAB,Jabaquara,31700,2023
2023-04-17,1-AZUL,JAB,Jabaquara,69000,2023
2023-04-18,1-AZUL,JAB,Jabaquara,67000,2023
2023-04-19,1-AZUL,JAB,Jabaquara,70400,2023
2023-04-20,1-AZUL,JAB,Jabaquara,71700,2023
2023-04-21,1-AZUL,JAB,Jabaquara,34300,2023
2023-04-22,1-AZUL,JAB,Jabaquara,41700,2023
2023-04-23,1-AZUL,JAB,Jabaquara,38400,2023
2023-04-24,1-AZUL,JAB,Jabaquara,71200,2023
2023-04-25,1-AZUL,JAB,Jabaquara,72400,2023
2023-04-26,1-AZUL,JAB,Jabaquara,73800,2023
2023-04-27,1-AZUL,JAB,Jabaquara,71500,2023
2023-04-28,1-AZUL,JAB,Jabaquara,74400,2023
2023-04-29,1-AZUL,JAB,Jabaquara,48900,2023
2023-04-30,1-AZUL,JAB,Jabaquara,29900,2023
2023-05-01,1-AZUL,JAB,Jabaquara,38100,2023
2023-05-02,1-AZUL,JAB,Jabaquara,72500,2023
