data,linha,sigla,estacao,fluxo
2025-04-10,1-AZUL,JAB,Jabaquara,72400
2025-04-11,1-AZUL,JAB,Jabaquara,75100
2025-04-12,1-AZUL,JAB,Jabaquara,47100
2025-04-13,1-AZUL,JAB,Jabaquara,30300
2025-04-14,1-AZUL,JAB,Jabaquara,67900
2025-04-15,1-AZUL,JAB,Jabaquara,71600
2025-04-16,1-AZUL,JAB,Jabaquara,66900
2025-04-17,1-AZUL,JAB,Jabaquara,66200
2025-04-18,1-AZUL,JAB,Jabaquara,28000
2025-04-19,1-AZUL,JAB,Jabaquara,33800
2025-04-20,1-AZUL,JAB,Jabaquara,31000
2025-04-21,1-AZUL,JAB,Jabaquara,43100
2025-04-22,1-AZUL,JAB,Jabaquara,77000
2025-04-23,1-AZUL,JAB,Jabaquara,73400
2025-04-24,1-AZUL,JAB,Jabaquara,72800
2025-04-25,1-AZUL,JAB,Jabaquara,70800
2025-04-26,1-AZUL,JAB,Jabaquara,46100
2025-04-27,1-AZUL,JAB,Jabaquara,27500
2025-04-28,1-AZUL,JAB,Jabaquara,70000
2025-04-29,1-AZUL,JAB,Jabaquara,67400
2025-04-30,1-AZUL,JAB,Jabaquara,73200
2025-05-01,1-AZUL,JAB,Jabaquara,31800
2025-05-02,1-AZUL,JAB,Jabaquara,45700
2025-05-03,1-AZUL,JAB,Jabaquara,41900
2025-05-04,1-AZUL,JAB,Jabaquara,31100
2025-05-05,1-AZUL,JAB,Jabaquara,71000
2025-05-06,1-AZUL,JAB,Jabaquara,72100
2025-05-07,1-AZUL,JAB,Jabaquara,71500
2025-05-08,1-AZUL,JAB,Jabaquara,70500
2025-05-09,1-AZUL,JAB,Jabaquara,74100
2025-05-10,1-AZUL,JAB,Jabaquara,48300
2025-05-11,1-AZUL,JAB,Jabaquara,29700
2025-05-12,1-AZUL,JAB,Jabaquara,70600
2025-05-13,1-AZUL,JAB,Jabaquara,69900
2025-05-14,1-AZUL,JAB,Jabaquara,68700
2025-05-15,1-AZUL,JAB,Jabaquara,71000
2025-05-16,1-AZUL,JAB,Jabaquara,68900
2025-05-17,1-AZUL,JAB,Jabaquara,45700
2025-05-18,1-AZUL,JAB,Jabaquara,31600
2025-05-19,1-AZUL,JAB,Jabaquara,70100
2025-05-20,1-AZUL,JAB,Jabaquara,70100
2025-05-21,1-AZUL,JAB,Jabaquara,72600
2025-05-22,1-AZUL,JAB,Jabaquara,71400
2025-05-23,1-AZUL,JAB,Jabaquara,70000
2025-05-24,1-AZUL,JAB,Jabaquara,43500
2025-05-25,1-AZUL,JAB,Jabaquara,31100
2025-05-26,1-AZUL,JAB,Jabaquara,68500
2025-05-27,1-AZUL,JAB,Jabaquara,69700
2025-05-28,1-AZUL,JAB,Jabaquara,69400
2025-05-29,1-AZUL,JAB,Jabaquara,63400
2025-05-30,1-AZUL,JAB,Jabaquara,70900
2025-05-31,1-AZUL,JAB,Jabaquara,44000
2025-06-01,1-AZUL,JAB,Jabaquara,28600
2025-06-02,1-AZUL,JAB,Jabaquara,69300
2025-06-03,1-AZUL,JAB,Jabaquara,69200
2025-06-04,1-AZUL,JAB,Jabaquara,69000
2025-06-05,1-AZUL,JAB,Jabaquara,68700
2025-06-06,1-AZUL,JAB,Jabaquara,70200
2025-06-07,1-AZUL,JAB,Jabaquara,47000
2025-06-08,1-AZUL,JAB,Jabaquara,28100
2025-06-09,1-AZUL,JAB,Jabaquara,66700
2025-06-10,1-AZUL,JAB,Jabaquara,70200
2025-06-11,1-AZUL,JAB,Jabaquara,70000
2025-06-12,1-AZUL,JAB,Jabaquara,69500
2025-06-13,1-AZUL,JAB,Jabaquara,68200
2025-06-14,1-AZUL,JAB,Jabaquara,44300
2025-06-15,1-AZUL,JAB,Jabaquara,26900
2025-06-16,1-AZUL,JAB,Jabaquara,67700
2025-06-17,1-AZUL,JAB,Jabaquara,69900
2025-06-18,1-AZUL,JAB,Jabaquara,71100
2025-06-19,1-AZUL,JAB,Jabaquara,35400
2025-06-20,1-AZUL,JAB,Jabaquara,54600
2025-06-21,1-AZUL,JAB,Jabaquara,42300
2025-06-22,1-AZUL,JAB,Jabaquara,31800
2025-06-23,1-AZUL,JAB,Jabaquara,66800
2025-06-24,1-AZUL,JAB,Jabaquara,65500
2025-06-25,1-AZUL,JAB,Jabaquara,65100
